target_column,best_iteration,best_AUC,model_file,rank
target_3_5,948,0.976706359650422,wocattarget_3_5.cbm,1
target_8_1,998,0.9764645709134044,wocattarget_8_1.cbm,2
target_2_8,25,0.9757205576446116,wocattarget_2_8.cbm,3
target_2_7,362,0.9397872695141876,wocattarget_2_7.cbm,4
target_3_4,778,0.9384468178903494,wocattarget_3_4.cbm,5
target_9_8,989,0.9246917125131198,wocattarget_9_8.cbm,6
target_2_2,941,0.9223167817084956,wocattarget_2_2.cbm,7
target_1_1,808,0.91736946363941,wocattarget_1_1.cbm,8
target_9_4,287,0.9081602262312444,wocattarget_9_4.cbm,9
target_3_2,911,0.9063568756386188,wocattarget_3_2.cbm,10
target_1_3,999,0.8678777911945583,wocattarget_1_3.cbm,11
target_1_5,799,0.8675064350617006,wocattarget_1_5.cbm,12
target_8_3,915,0.863549282503525,wocattarget_8_3.cbm,13
target_6_5,376,0.8608986315511272,wocattarget_6_5.cbm,14
target_4_1,504,0.8571825304262972,wocattarget_4_1.cbm,15
target_6_4,157,0.8513576094368194,wocattarget_6_4.cbm,16
target_7_2,731,0.8448742439653629,wocattarget_7_2.cbm,17
target_8_2,926,0.8407824998156181,wocattarget_8_2.cbm,18
target_1_4,723,0.8256038075712089,wocattarget_1_4.cbm,19
target_9_5,212,0.8252209235644881,wocattarget_9_5.cbm,20
target_9_2,484,0.8221470793357224,wocattarget_9_2.cbm,21
target_1_2,205,0.8072138771414236,wocattarget_1_2.cbm,22
target_2_3,101,0.8057130434202098,wocattarget_2_3.cbm,23
target_7_1,991,0.8013741246855723,wocattarget_7_1.cbm,24
target_9_1,463,0.7992780918206931,wocattarget_9_1.cbm,25
target_2_1,378,0.795340489076474,wocattarget_2_1.cbm,26
target_3_3,205,0.7835473422407311,wocattarget_3_3.cbm,27
target_7_3,484,0.7774180971192217,wocattarget_7_3.cbm,28
target_2_5,696,0.7761517409393637,wocattarget_2_5.cbm,29
target_6_3,378,0.7606242296327315,wocattarget_6_3.cbm,30
target_9_7,525,0.7502547977331392,wocattarget_9_7.cbm,31
target_10_1,864,0.7471568759692602,wocattarget_10_1.cbm,32
target_2_6,607,0.7405905141449187,wocattarget_2_6.cbm,33
target_5_1,283,0.7379318287575517,wocattarget_5_1.cbm,34
target_2_4,139,0.7281150335055637,wocattarget_2_4.cbm,35
target_6_2,945,0.723372175234247,wocattarget_6_2.cbm,36
target_5_2,593,0.7128707199285056,wocattarget_5_2.cbm,37
target_6_1,692,0.6960812553765834,wocattarget_6_1.cbm,38
target_3_1,884,0.6872747331248242,wocattarget_3_1.cbm,39
target_9_3,729,0.6849474046160813,wocattarget_9_3.cbm,40
target_9_6,734,0.6841998698440885,wocattarget_9_6.cbm,41
